title,address_info,city,abbr,post,phone
"['Sleep Number ', 'Fairview Heights']","[""Mall Location - Lower Level, near Macy's"", '194 St Clair Square', 'Fairview Heights']",Fairview Heights,IL,62208,(618) 632-2914
"['Sleep Number ', 'Saint Louis']","['Across from the Galleria', '1016 S Brentwood Blvd', 'Saint Louis']",Saint Louis,MO,63117,(314) 725-2536
"['Sleep Number ', 'Maplewood']","['Next to Caribou Coffee', '3094 White Bear Ave', 'Maplewood']",Maplewood,MN,55109,(651) 748-0353
"['Sleep Number ', 'St. Louis']","['Across from South County Center', '7333 S Lindbergh Blvd', 'Suite B']",St. Louis,MO,63125,(314) 815-3012
"['Sleep Number ', 'Minot']","['Mall Location - Center Court', '2400 10th St SW', 'Suite 405']",Minot,ND,58701,(701) 837-0957
"['Sleep Number ', 'Rapid City']","[""Next to Starbucks and Famous Dave's"", '1734 Eglin Street', 'Suite 700']",Rapid City,SD,57701,(605) 341-3024
"['Sleep Number ', 'Bismarck']","['In front of Dick’s Sporting Goods', '1499 E LaSalle Dr.', 'Bismarck']",Bismarck,ND,58503,(701) 495-0808
"['Sleep Number ', 'Des Peres']","[""Mall Location - Upper level, between Nordstroms and Macy's"", '124 West County Centre', 'Space #2080']",Des Peres,MO,63131,(314) 984-8052
"['Sleep Number ', 'Paducah']","['Across from Kentucky Oaks Mall', '5128 Hinkleville Road', 'Paducah']",Paducah,KY,42001,(270) 443-8200
"['Sleep Number ', 'Grand Forks']","[""Across from Kohl's"", '3300 32nd Avenue South', 'Suite 102']",Grand Forks,ND,58201,(701) 757-0672
"['Sleep Number ', 'St. Peters']","['The Shoppes at Mid Rivers in front of Ross and Marshalls', '5248 I-70 North Outer Rd', 'St. Peters']",St. Peters,MO,63376,(636) 397-2811
"['Sleep Number ', 'Maple Grove']","['on corner of Hemlock Ln N. and Elm Creek Pkwy.', '11802 Elm Creek Blvd N', 'Maple Grove']",Maple Grove,MN,55369,(763) 315-5383
"['Sleep Number ', 'Coon Rapids']","['Between Costco and Best Buy', '12609 Riverdale Blvd NW', 'Suite 111']",Coon Rapids,MN,55448,(763) 201-0958
"['Sleep Number ', 'Minnetonka']","['Mall Location - Upper level, next to Big Bowl', '12637 Wayzata Blvd', 'Space 2445']",Minnetonka,MN,55305,(952) 525-1595
"['Sleep Number ', 'Duluth']","['Next to the Miller Hill Mall', '2104 Maple Grove Road', 'Unit 110']",Duluth,MN,55811,(218) 733-9305
"['Sleep Number ', 'Chesterfield']","['Across from Boones Crossing Target', '16890 Chesterfield Airport Rd', 'Chesterfield']",Chesterfield,MO,63005,(636) 519-9977
"['Sleep Number ', 'St. Cloud']","['on Division in Waite Park', '4170 West Division Street', 'St. Cloud']",St. Cloud,MN,56301,(320) 252-3366
"['Sleep Number ', 'Fargo']","['next to Verizon Wireless', '1895 45th St. S,', 'Suite E-2 & E-3']",Fargo,ND,58103,(701) 281-9666
"['Sleep Number ', 'Baxter']","['Between Mills Ford and Menards, across from Cherry Berry', '15094 Dellwood Dr.', 'Suite 100']",Baxter,MN,56401,(218) 210-2397
"['Sleep Number ', 'Sacramento']","['Mall Location - Across from Forever 21', '1689 Arden Way', 'Suite 1020']",Sacramento,CA,95815,(916) 922-8021
"['Sleep Number ', 'Reno']","['Across from Whole Foods', '6350 S Virginia St.', 'Suite A']",Reno,NV,89511,(775) 448-9512
"['Sleep Number ', 'Roseville']","['Across from Yard House', '1162 Roseville Pkwy.', 'Suite 150']",Roseville,CA,95678,(916) 788-4344
"['Sleep Number ', 'Reno']","[""Near Dillard's"", '13925 S Virginia St', 'Suite 246']",Reno,NV,89511,(775) 853-6122
"['Sleep Number ', 'King Of Prussia']","[""Upper level, by Bloomingdale's"", '690 West Dekalb Pike', 'King Of Prussia']",King Of Prussia,PA,19406,(610) 878-9560
"['Sleep Number ', 'East Hanover']","['Next to REI on Route 10 West', '290 Route 10 West', 'East Hanover']",East Hanover,NJ,07936,(973) 599-1085
"['Sleep Number ', 'Lubbock']","['Near Discount Tire', '5605 Slide Rd', 'Lubbock']",Lubbock,TX,79414,(806) 785-1845
"['Sleep Number ', 'Totowa']","[""Next to David's Bridal on Route 46"", '578 Route 46 East', 'Totowa']",Totowa,NJ,07512,(973) 256-4851
"['Sleep Number ', 'Midland']","['Cornerstone Shopping Center', '4400 N Midland Drive', '#706']",Midland,TX,79707,(432) 694-3080
"['Sleep Number ', 'Rockaway']","[""Mall Location - Lower level, Macy's wing"", '301 Mount Hope Ave', 'Space 1065']",Rockaway,NJ,07866,(973) 442-1818
"['Sleep Number ', 'Amarillo']","['in front of World Market', '3300 S Soncy Rd.', 'Suite 100']",Amarillo,TX,79124,(806) 576-0669
"['Sleep Number ', 'Myrtle Beach']","['Mall Location - In the JCPenney wing', '2000 Coastal Grand Circle', 'Suite 305']",Myrtle Beach,SC,29577,(843) 839-9010
"['Sleep Number ', 'Union']","['next to Costco', '1235 W Chestnut St.', 'Space G']",Union,NJ,07083,(908) 623-1700
"['Sleep Number ', 'North Chesterfield']","['Midlothian Turnpike and Huguenot Rd.', '11546 Midlothian Turnpike', 'North Chesterfield']",North Chesterfield,VA,23235,(804) 378-5785
"['Sleep Number ', 'Wilmington']","['Near William Sonoma', '6864 Main St', 'Wilmington']",Wilmington,NC,28405,(910) 509-2112
"['Sleep Number ', 'Hickory']","['At Valley Hills Mall entrance', '2030 Hwy. 70 SE', 'Suite A']",Hickory,NC,28602,(828) 324-0344
"['Sleep Number ', 'Gastonia']","['At the side entrance of Target', '2272 E Franklin Blvd', 'Suite 100']",Gastonia,NC,28054,(980) 320-8449
"['Sleep Number ', 'Roanoke']","['Near Barnes & Noble', '4822 G Valley View Blvd,', 'Suite L-06']",Roanoke,VA,24012,(540) 265-8515
"['Sleep Number ', 'Lynchburg']","['Near Starbucks', '3911 Wards Road', 'Suite C']",Lynchburg,VA,24502,(434) 237-0218
"['Sleep Number ', 'Charlotte']","['Pineville-Matthews Rd half a mile from Carolinas Place Mall', '8912 Pineville Matthews Rd', 'Unit C']",Charlotte,NC,28226,(704) 543-6431
"['Sleep Number ', 'Canton']","['Mall Location - Next to Best Buy Mobile across from Finish Line', '4285 Belden Village Mall', 'Suite A14']",Canton,OH,44718,(330) 244-0630
"['Sleep Number ', 'Akron']","['Across from Jared', '3891G Medina Rd', 'Akron']",Akron,OH,44333,(330) 668-9132
"['Sleep Number ', 'Dallas']","['Preston Road and W Northwest Hwy', '8421 Preston Road', 'Dallas']",Dallas,TX,75225,(469) 283-2280
"['Sleep Number ', 'Beavercreek']","['Next to The Pub, across from Flemings', '21 Greene Blvd.', 'Space N-110']",Beavercreek,OH,45440,(937) 320-9644
"['Sleep Number ', 'Dallas']","[""Street level by Grimaldi's Pizza and Kosmo Energy"", '8060 Park Lane', 'Suite 108']",Dallas,TX,75231,(972) 661-8790
"['Sleep Number ', 'Strongsville']","['Mall Location - Lower level, near main entrance', '164 South Park Center', 'Strongsville']",Strongsville,OH,44136,(440) 846-1585
"['Sleep Number ', 'Southlake']","['Near Central Market', '1251 E Southlake Blvd', 'Suite 337']",Southlake,TX,76092,(817) 251-3200
"['Sleep Number ', 'Reynoldsburg']","['on corner of Stonetrail Way and Baltimore-Reynoldsburg Road, across from T-Mobile', '1933 Baltimore-Reynoldsburg Rd.', 'Reynoldsburg']",Reynoldsburg,OH,43068,(614) 892-7557
"['Sleep Number ', 'Chico']","['MLK Parkway across from Costco', '2065 Dr Martin Luther King Jr Parkway', 'Suites 187 and 189']",Chico,CA,95928,(530) 343-3749
"['Sleep Number ', 'Garland']","['Near Old Navy', '460 Coneflower Dr.', 'Space M19']",Garland,TX,75040,(972) 767-2301
"['Sleep Number ', 'Irving']","['in The Shops at MacArthur Hills, off President George Bush Turnpike', '6911 N MacArthur Blvd.', 'Irving']",Irving,TX,75039,(469) 351-7670
"['Sleep Number ', 'Grapevine']","['Across from Gap', '3000 Grapevine Mills Pkwy', 'Suite 225']",Grapevine,TX,76051,(972) 315-5794
"['Sleep Number ', 'Plano']","['Across the Tollway', '2100 Dallas Parkway', 'Suite 124']",Plano,TX,75093,(469) 814-0734
"['Sleep Number ', 'Redding']","['Target Center next to The Vitamin Shoppe', '1315 Churn Creek Road', 'Ste G2']",Redding,CA,96003,(530) 223-2300
"['Sleep Number ', 'Denton']","[""Across from Sam's Club"", '2735 West University Drive', 'Suite 1095']",Denton,TX,76201,(940) 243-2500
"['Sleep Number ', 'Wichita Falls']","[""Next to Kohl's and Chili's"", '3720 Call Field Rd.', 'Suite #200']",Wichita Falls,TX,76308,(940) 696-6908
"['Sleep Number ', 'Medford']","['Next to Verizon Wireless', '1763 N Riverside Ave', 'Medford']",Medford,OR,97501,(541) 608-7043
"['Sleep Number ', 'McKinney']","['Near LA Fitness off El Dorado Parkway', '1920 El Dorado Parkway', 'Suite 200']",McKinney,TX,75069,(972) 548-7830
"['Sleep Number ', 'Norman']","['Near Target on Mt. Williams Drive', '1621 24th Ave NW', 'Norman']",Norman,OK,73069,(405) 364-1676
"['Sleep Number ', 'Sherman']","['Next to Kay Jewelers', '613 E North Creek Dr.', 'Suite 300']",Sherman,TX,75092,(903) 357-5222
"['Sleep Number ', 'Exton']","['Upper level inside Exton Mall, near Loft', '311 Exton Square Parkway', 'Suite 2665']",Exton,PA,19341,(610) 280-9956
"['Sleep Number ', 'Hagerstown']","['Mall Location - Near Sears', '17318 Valley Mall Rd.', 'Suite B']",Hagerstown,MD,21740,(301) 582-6278
"['Sleep Number ', 'Center Valley']","['Near Melt Restaurant', '2880 Center Valley Pkwy', 'Suite 617']",Center Valley,PA,18034,(610) 628-0580
"['Sleep Number ', 'Frisco']","['outside Stonebriar Mall, off 121 Westbound Frontage Road near iFLY', '8440 State Hwy 121 S', 'Frisco']",Frisco,TX,75034,(972) 335-7477
"['Sleep Number ', 'Lancaster']","['Across from Park City Center Mall', '1480 Harrisburg Pike', 'Lancaster']",Lancaster,PA,17601,(717) 391-2521
"['Sleep Number ', 'York']","['next to Aspen Dental', '1401 Kenneth Rd.', 'Suite 400']",York,PA,17404,(717) 779-1242
"['Sleep Number ', 'Victor']","['Near the main court, use entrance #4', '784 Eastview Mall', 'Victor']",Victor,NY,14564,(585) 223-6300
"['Sleep Number ', 'Dublin']","['across from REI, west of Sawmill Road', '6465 Sawmill Road', 'Dublin']",Dublin,OH,43017,(614) 760-8863
"['Sleep Number ', 'Vestal']","[""Corner of Vestal Pkwy. & Sycamore St., in front of Sam's Club"", '2549 Vestal Pkwy East', 'Suite 1']",Vestal,NY,13850,(607) 203-0230
"['Sleep Number ', 'Camp Hill']","['Mall Location - Main mall entrance near DSW', '3557 Capital City Mall Drive', 'Camp Hill']",Camp Hill,PA,17011,(717) 307-3005
"['Sleep Number ', 'Columbus']","['in Polaris Towne Center, next to The Clock Tower and Jo-Ann Fabrics', '1279 Polaris Pkwy', 'Columbus']",Columbus,OH,43240,(614) 468-0003
"['Sleep Number ', 'Columbus']","['Across from Saks off 5th', '3960 Stelzer Road', 'Space N-100']",Columbus,OH,43219,(614) 471-5941
"['Sleep Number ', 'Whitehall']","[""Mall Location - Upper level, near Macy's"", '241 Lehigh Valley Mall', 'Suite 2069']",Whitehall,PA,18052,(610) 264-1031
"['Sleep Number ', 'Concord']","['Corner of Concord Mills Blvd. and Derita Rd., in front of Lowe’s', '8694 Concord Mills Blvd', 'Suite 40']",Concord,NC,28027,(704) 979-1360
"['Sleep Number ', 'Anderson']","['3700 Liberty Hwy.', 'Anderson']",Anderson,SC,29621,(864) 231-6193
"['Sleep Number ', 'Charlotte']","['Next to Buffalo Wild Wings', '9402 Northlake West Drive', 'Suite 101']",Charlotte,NC,28216,(704) 598-2092
"['Sleep Number ', 'Mooresville']","['Southwest of River Hwy. and NC Hwy. 77, next to Starbucks', '489 River Hwy', 'Suite 862']",Mooresville,NC,28117,(980) 444-5281
"['Sleep Number ', 'Asheville']","[""near intersection of Tunnel Rd. and S. Tunnel Rd., next to Men's Wearhouse"", '15 Peaks Center Lane', 'Suite 45']",Asheville,NC,28805,(828) 298-7334
"['Sleep Number ', 'Greenville']","['Near Fresh Market', '920 Criswell Drive', 'Suite 101']",Greenville,NC,27834,(252) 355-5522
"['Sleep Number ', 'Moosic']","['Near Panera Bread', '1131 Shoppes Blvd', 'Suite 1131']",Moosic,PA,18507,(570) 961-0525
"['Sleep Number ', 'Columbia']","['Across from Buffalo Wild Wings', '189 Harbison Blvd', 'Suite B']",Columbia,SC,29212,(803) 732-0204
"['Sleep Number ', 'Winston Salem']","['Mall Location - Upper level, near Sears', '3320 Silas Creek Pkwy', 'Suite 652']",Winston Salem,NC,27103,(336) 659-4757
"['Sleep Number ', 'Spartanburg']","['Across from the Westgate Mall', '210 W Blackstock Rd', 'Suite 120']",Spartanburg,SC,29301,(864) 595-8172
"['Sleep Number ', 'North Charleston']","['at intersection of Rivers Ave. and Ashley Phosphate Road, next to Starbucks', '7381 Rivers Ave', 'Suite 102']",North Charleston,SC,29406,(843) 628-5692
"['Sleep Number ', 'Greenville']","['In Magnolia Park Development', '1025 Woodruff Road', 'Suite A101']",Greenville,SC,29607,(864) 675-0364
"['Sleep Number ', 'Greensboro']","['Near Costco in Wendover Village', '4205 W Wendover Ave', 'Suite A']",Greensboro,NC,27407,(336) 297-2106
"['Sleep Number ', 'Matthews']","[""Corner of East Independence Blvd and Windsor Square Dr in front of Sam's Club"", '9727 E Independence Blvd.', 'Matthews']",Matthews,NC,28105,(980) 265-3185
"['Sleep Number ', 'Columbia']","['Near Sandhills Mall on Two-Notch Road', '10254 Two Notch Road', 'Suite A']",Columbia,SC,29229,(803) 462-6926
"['Sleep Number ', 'Wyomissing']","['Across from Elevation Burger', '710 Woodland Road West', 'Suite W']",Wyomissing,PA,19610,(484) 334-2278
"['Sleep Number ', 'Holly Springs']","['next to Tijuana Flats near Target', '153 Grand Hill Pl', 'Holly Springs']",Holly Springs,NC,27540,(919) 355-0799
"['Sleep Number ', 'Raleigh']","['Mall Location - Lower level, adjacent to Sears', '4325 Glenwood Ave', 'Raleigh']",Raleigh,NC,27612,(919) 781-7799
"['Sleep Number ', 'Fayetteville']","[""Mall Location - Outside entrance next to Macy's"", '705 Cross Creek Mall', 'Suite 200']",Fayetteville,NC,28303,(910) 864-5852
"['Sleep Number ', 'Staten Island']","['lower level next to Sephora in the Macy’s wing', '2655 Richmond Ave', 'Suite 1555']",Staten Island,NY,10314,(929) 259-8540
"['Sleep Number ', 'Durham']","['in the Main Street area, across from Apple', '8030 Renaissance Parkway', 'Suite 860']",Durham,NC,27713,(919) 361-3414
"['Sleep Number ', 'Warrington']","[""Between P.F. Chang's China Bistro and Bar Louie"", '1520 Main Street', 'Suite 804']",Warrington,PA,18976,(215) 343-0604
"['Sleep Number ', 'Elizabethtown']","['Next to Firehouse Subs', '1570 N. Dixie Hwy.', 'Suite 104']",Elizabethtown,KY,42701,(270) 986-7169
"['Sleep Number ', 'Cary']","['in front of Target and The Home Depot, next to OfficeMax', '2007 Walnut St', 'Suite 100']",Cary,NC,27518,(919) 461-1707
"['Sleep Number ', 'Bridgewater']","[""Mall Location - Lower level, near Macy's"", '400 Commons Way', 'Suite 1053']",Bridgewater,NJ,08807,(908) 707-3626
"['Sleep Number ', 'Lawrenceville']","['Mall Location - Next to Cheescake Factory', '149 Quaker Bridge Mall', 'Suite 1043']",Lawrenceville,NJ,08648,(609) 297-1567
"['Sleep Number ', 'Metuchen']","['Rt. 1 & Ford Ave, near Vitamin Shoppe', '171 US Hwy 1 South', 'Suite 1']",Metuchen,NJ,08840,(732) 494-1975
"['Sleep Number ', 'San Antonio']","['Corner of Hwy. 281 and TPC Pkwy.', '22118 U.S. Hwy. 281', 'Suite 102']",San Antonio,TX,78258,(210) 981-1404
"['Sleep Number ', 'Bowling Green']","[""Mall Location - Next to Men's Warehouse"", '2625 Scottsville Rd', 'Space 550']",Bowling Green,KY,42104,(270) 781-0889
"['Sleep Number ', 'Kennesaw']","['Mall Location - 2nd Floor, Near Sears, next to Disney', '400 Ernest Barrett Pkwy', 'Suite 113']",Kennesaw,GA,30144,(770) 427-9404
"['Sleep Number ', 'Knoxville']","['Located on Kingston Pike & West Hills', '7731 Kingston Pike', 'Suite 101']",Knoxville,TN,37919,(865) 297-5030
"['Sleep Number ', 'Langhorne']","['Mall Location - Upper level, near Sears', '2300 East Lincoln Highway', 'Space 258']",Langhorne,PA,19047,(215) 757-4711
"['Sleep Number ', 'San Antonio']","[""Near Macy's, across from Gap"", '15900 La Cantera Pkwy', 'Suite 8865']",San Antonio,TX,78256,(210) 807-3049
"['Sleep Number ', 'Knoxville']","['Next to Earth Fare, across from Tennova Hospital', '10901 Parkside Drive', 'Suite 104']",Knoxville,TN,37934,(865) 288-4067
"['Sleep Number ', 'Austin']","[""Mall Location - Lower level, Nordstrom's wing"", '2901 S Capital of Texas Hwy', 'Space H07B']",Austin,TX,78746,(512) 327-8589
"['Sleep Number ', 'Austin']","['in the south end of South Park Meadows catty corner from Longhorn Steakhouse', '9900 Southbound IH 35', 'Suite W400']",Austin,TX,78748,(512) 291-9885
"['Sleep Number ', 'Arlington']","['Mall Location - Upper level, near Center Court', '3811 S Cooper', 'Suite 2046']",Arlington,TX,76015,(817) 468-2603
"['Sleep Number ', 'Cedar Hill']","['Next to Sherwin-Williams Paint', '415 Pleasant Run Rd', 'Suite 165']",Cedar Hill,TX,75104,(972) 291-5905
"['Sleep Number ', 'Cedar Park']","['At the entrance of Costco', '909 East Whitestone Blvd', 'Suite D']",Cedar Park,TX,78613,(512) 259-1803
"['Sleep Number ', 'Austin']","['Entrance of the Domain at Braker Lane', '3310 W Braker Lane', 'Suite 100']",Austin,TX,78758,(512) 832-4900
"['Sleep Number ', 'Harker Heights']","['Near Educational Outfitters', '300 East Central Texas Expressway', 'Harker Heights']",Harker Heights,TX,76548,(254) 433-5404
"['Sleep Number ', 'Waco']","[""Between Logan's Steakhouse and Verizon Wireless"", '2808 W Loop 340', 'Suite H15']",Waco,TX,76711,(254) 230-4084
"['Sleep Number ', 'Abilene']","['Southwest Drive and Catclaw Drive', '4225 Southwest Dr', 'Abilene']",Abilene,TX,79606,(325) 793-9496
"['Sleep Number ', 'Fort Worth']","['Mall Location - Lower level across from Coach', '4800 S Hulen', 'Space 138']",Fort Worth,TX,76132,(817) 292-6321
"['Sleep Number ', 'Florence']","['2861 Florence Blvd', 'Florence']",Florence,AL,35630,(256) 649-6210
"['Sleep Number ', 'Georgetown']","['Near Casa Ole', '1013 West University Ave', 'Suite 140']",Georgetown,TX,78628,(512) 686-4526
"['Sleep Number ', 'Nashville']","['Mall Location - Near Old Navy', '157 Opry Mills Drive', 'Nashville']",Nashville,TN,37214,(615) 823-3143
"['Sleep Number ', 'Hurst']","['Mall Location - JCPenney wing', '1101 Melbourne Road', 'Space 3086']",Hurst,TX,76053,(817) 537-0004
"['Sleep Number ', 'Chattanooga']","['Mall Location - Upper level, across from JCPenny', '2100 Hamilton Place Blvd', 'Suite 212']",Chattanooga,TN,37421,(423) 899-8050
"['Sleep Number ', 'Franklin']","[""Mall Location - 2nd floor between Sears & Dillard's"", '1800 Galleria Boulevard', 'Suite 2360']",Franklin,TN,37067,(615) 771-3090
"['Sleep Number ', 'New Hartford']","['Adjacent to Barnes and Noble', '4815 Commercial Drive', 'Suite 100']",New Hartford,NY,13413,(315) 736-0594
"['Sleep Number ', 'Albany']","['Mall Location - Upper level, near Lord & Taylor', '1 Crossgates Mall Road', 'Suite E209']",Albany,NY,12203,(518) 218-7207
"['Sleep Number ', 'Freehold']","['Mall Location - Next to Cheescake Factory', '3710 Route 9', 'Space L210']",Freehold,NJ,07728,(732) 462-8815
"['Sleep Number ', 'Brick']","['Next to Best Buy', '709 Route 70', 'Brick']",Brick,NJ,08723,(732) 473-3180
"['Sleep Number ', 'Murfreesboro']","['Mall Location - Across from Barnes & Noble', '2615 Medical Center Parkway', 'Suite 2385']",Murfreesboro,TN,37129,(615) 278-9152
"['Sleep Number ', 'Nashville']","['In the Lions Head Village', '96 White Bridge Pike', 'Suite 104']",Nashville,TN,37205,(615) 354-5995
"['Sleep Number ', 'Harrisonburg']","['on corner of E. Market St. and University Blvd., across from Hobby Lobby', '1760 E Market St', 'Suite 101']",Harrisonburg,VA,22801,(540) 208-1356
"['Sleep Number ', 'Hamilton']","['Next to New York & Company', '541 Route 130', 'Suite 432']",Hamilton,NJ,08691,(609) 585-3939
"['Sleep Number ', 'Newport News']","['Across from Whole Foods', '12090  Jefferson Ave', 'Building 1000, Suite 1040']",Newport News,VA,23606,(757) 255-5570
"['Sleep Number ', 'Williamsburg']","['Next to Banana Republic', '5707-5 Richmond Rd.', 'Space C039']",Williamsburg,VA,23188,(757) 221-7057
"['Sleep Number ', 'Winchester']","['Mall Location - Near JCPenney', '1850 Apple Blossom Drive', 'Space N157']",Winchester,VA,22601,(540) 665-8345
"['Sleep Number ', 'Fredericksburg']","['Next to Ethan Allen', '1440 Carl D Silver Parkway', 'Fredericksburg']",Fredericksburg,VA,22401,(540) 786-1501
"['Sleep Number ', 'Richmond']","['Near Kroger', '11833 W Broad Street', 'Richmond']",Richmond,VA,23233,(804) 364-9523
"['Sleep Number ', 'Charlottesville']","['Mall Location - Level 1, near Belk', '1600 Rio Rd E', 'Suite 1214']",Charlottesville,VA,22901,(434) 973-1470
"['Sleep Number ', 'Pittsburgh']","['Upper level, near JC Penney', '100 Robinson Center Drive', 'Pittsburgh']",Pittsburgh,PA,15205,(412) 490-9101
"['Sleep Number ', 'Cranberry Township']","['east of I-79, adjacent to UPMC Lemieux Sports Complex', '2080 Mackenzie Way', 'Suite 400']",Cranberry Township,PA,16066,(724) 716-8450
"['Sleep Number ', 'Monroeville']","['East of Valley Honda, across from Miracle Mile Shopping Center', '4185 William Penn Hwy.', 'Monroeville']",Monroeville,PA,15146,(412) 457-8050
"['Sleep Number ', 'Tarentum']","[""Near Lowe's"", '2029 Pittsburgh Mills Blvd', 'Tarentum']",Tarentum,PA,15084,(724) 274-9158
"['Sleep Number ', 'Pittsburgh']","[""Mall Location - Upper level, near Dick's Sporting Goods"", '301 South Hills Village', 'Space 2265B']",Pittsburgh,PA,15241,(412) 479-9003
"['Sleep Number ', 'Glendale Heights']","['In front of Target', '177 West Army Trail Rd.', 'Glendale Heights']",Glendale Heights,IL,60139,(630) 332-8410
"['Sleep Number ', 'Charleston']","[""Mall Location - Second floor near Macy's"", '2110 Charleston Town Center', 'Charleston']",Charleston,WV,25389,(304) 345-8848
"['Sleep Number ', 'Pittsburgh']","[""Across from Target and Kohl's"", '4840 McKnight Rd', 'Suite A']",Pittsburgh,PA,15237,(412) 366-2615
"['Sleep Number ', 'Deerfield']","['Next to Starbucks', '60 S Waukegan Rd.', 'Suite B']",Deerfield,IL,60015,(847) 559-8129
"['Sleep Number ', 'Deer Park']","['Next to Starbucks', '20530 N Rand Rd', 'Suite 436']",Deer Park,IL,60010,(847) 550-0741
"['Sleep Number ', 'Greensburg']","['Mall Location - Lower level, near JCPenney', '5256 Route 30', 'Suite NL8']",Greensburg,PA,15601,(724) 836-8554
"['Sleep Number ', 'Algonquin']","['Near Best Buy', '1531 S Randall Rd.', 'Algonquin']",Algonquin,IL,60102,(847) 854-9720
"['Sleep Number ', 'Morgantown']","['University Towne Center, across from Target', '252 Jim Street', 'Morgantown']",Morgantown,WV,26501,(304) 598-2236
"['Sleep Number ', 'Gurnee']","['Off Grand Ave', '6631 Grand Ave', 'Unit 3']",Gurnee,IL,60031,(847) 855-2720
"['Sleep Number ', 'Skokie']","['Next door to L. L. Bean', '4999 Old Orchard Center', 'Suite F15']",Skokie,IL,60077,(847) 929-9013
"['Sleep Number ', 'Schaumburg']","[""Mall Location - Lower level by Lord and Taylor's"", 'L-117 Woodfield Mall', 'Schaumburg']",Schaumburg,IL,60173,(847) 517-8456
"['Sleep Number ', 'Vernon Hills']","['Mall Location - Level 1, near Center Court', '325 Hawthorn Center', 'Vernon Hills']",Vernon Hills,IL,60061,(847) 573-8135
"['Sleep Number ', 'Wausau']","['Rib Mountain Road next to Texas Roadhouse', '4720 Rib Mountain Drive', 'Wausau']",Wausau,WI,54401,(715) 241-0990
"['Sleep Number ', 'Rockford']","['E State St. in front of Walmart', '7310 Walton Street', 'Suite B']",Rockford,IL,61108,(815) 332-7560
"['Sleep Number ', 'Madison']","['Across from Outback Steakhouse', '4602 E Washington Ave', 'Madison']",Madison,WI,53704,(608) 244-6353
"['Sleep Number ', 'Grove City']","['in front of Target', '4120 Buckeye Pkwy.', 'Grove City']",Grove City,OH,43123,(614) 782-8552
